ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150111UPZ18904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ18,BRITALIA,22
20150111UPZ18905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ18,BRITALIA,32
20150111UPZ19904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ19,EL PRADO,44
20150111UPZ19905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ19,EL PRADO,93
20150111UPZ20904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ20,LA ALHAMBRA,21
20150111UPZ20905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ20,LA ALHAMBRA,64
20150111UPZ23904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ23,CASA BLANCA SUBA,14
20150111UPZ23905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ23,CASA BLANCA SUBA,12
20150111UPZ24904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ24,NIZA,25
20150111UPZ24905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ24,NIZA,51
20150111UPZ25904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ25,LA FLORESTA,16
20150111UPZ25905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ25,LA FLORESTA,43
20150111UPZ27904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ27,SUBA,36
20150111UPZ27905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ27,SUBA,78
20150111UPZ28904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ28,EL RINCON,91
20150111UPZ28905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ28,EL RINCON,269
20150111UPZ2904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ2,LA ACADEMIA,1
20150111UPZ2905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ2,LA ACADEMIA,2
20150111UPZ71904,2015,1,904,HURTO EFECTUADO,11,SUBA,UPZ71,TIBABUYES,79
20150111UPZ71905,2015,1,905,ATRACO / HURTO EN PROCESO,11,SUBA,UPZ71,TIBABUYES,161
20150112UPZ103904,2015,1,904,HURTO EFECTUADO,12,BARRIOS UNIDOS,UPZ103,PARQUE SALITRE,4
20150112UPZ103905,2015,1,905,ATRACO / HURTO EN PROCESO,12,BARRIOS UNIDOS,UPZ103,PARQUE SALITRE,6
20150112UPZ21904,2015,1,904,HURTO EFECTUADO,12,BARRIOS UNIDOS,UPZ21,LOS ANDES,22
